id,title,released,overall,reviews,tags
2345020,Bee Island,"25 Aug, 2023",Very Positive,511,"Sandbox, Simulation, Singleplayer, Funny, Physics, War, Strategy, Indie, Adventure, Controller, Tower Defense, Open World Survival Craft, Medieval, Survival, Colony Sim, 3D, Realistic, Building, City Builder, Action"
1428100,Instruments of Destruction,"2 Mar, 2022",Very Positive,849,"Destruction, Physics, Building, Sandbox, Simulation, Isometric, Automobile Sim, Vehicular Combat, Driving, Indie, Action, Early Access, Strategy, 3D, Funny, Stylized, Modern, Tanks, Singleplayer, Casual"
1177660,Escape the Ayuwoki,"26 Nov, 2019",Very Positive,805,"Survival Horror, Psychological Horror, Horror, First-Person, Violent, Gore, Atmospheric, Singleplayer, Mystery, Assassin, Story Rich, Indie, Action, Adventure, Dark, Strategy, Action-Adventure, Exploration, 3D, Cinematic"
1337920,Serial Cleaners,"22 Sep, 2022",Mostly Positive,240,"Simulation, Stealth, Crime, Strategy, 1990's, Noir, Puzzle, Top-Down, Gore, Tactical, Indie, 2.5D, Singleplayer, Action, Blood, Comedy, Adventure, Dinosaurs, Dark Humor, 3D"
1358710,Battle Cry of Freedom,"1 Mar, 2022",Mostly Positive,1815,"Shooter, Combat, 3D, Real Time Tactics, Third-Person Shooter, FPS, Multiplayer, Historical, First-Person, Action, Simulation, Military, America, Strategy, Massively Multiplayer, War, Moddable, Indie, Team-Based, Tactical"
2808270,Buckshot With Friends,"19 Feb, 2024",Mixed,50,"PvP, Tabletop, 3D, First-Person, Horror, Strategy, Action, Atmospheric, Violent, Dark, Co-op, Multiplayer, Indie, Singleplayer, Online Co-Op"
670290,Real Pool 3D - Poolians,"4 Jan, 2018",Mostly Positive,11990,"Pool, Sports, Free to Play, Multiplayer, Simulation, Casual, Indie, Massively Multiplayer, Strategy, Shooter, Relaxing, VR, FPS, Funny, Singleplayer, Action, PvP, 3D, Co-op, Psychological Horror"
1341160,Infinite Tournament Paintball,"2 Aug, 2020",Very Positive,196,"Action, Simulation, Shooter, eSports, FPS, Real Time Tactics, Arena Shooter, First-Person, Realistic, 3D, Tactical, PvP, Combat, Team-Based, Multiplayer, Singleplayer, Local Multiplayer, Sports, Indie, Strategy"
1742610,Spirits of the Hellements - TD,"28 Apr, 2022",Very Positive,297,"Strategy, Tower Defense, Singleplayer, Sandbox, 3D, Fantasy, Action, Demons, Colorful, Tactical, Difficult, Choices Matter, Indie, Base Building, Medieval, Casual, Real Time Tactics, Cartoony, PvE, Replay Value"
369530,Void Destroyer 2,"6 Feb, 2020",Very Positive,587,"Space Sim, Open World, Sandbox, Action, Strategy, Simulation, 4X, Space, Sci-fi, Indie, Pirates, Mining, Trading, Moddable, RTS, Singleplayer, Building, Flight, 3D, Stylized"
2277720,Red Glare,"24 Jan, 2024",Positive,22,"Strategy, Action-Adventure, Real Time Tactics, 3D, Isometric, Realistic, Top-Down, Alternate History, Atmospheric, Historical, Military, Stealth, Tactical, World War II, Story Rich, Singleplayer, Action, Gore, Violent, Indie"
1621760,Decision: Red Daze,"19 May, 2022",Mostly Positive,572,"Survival, Action, Zombies, RPG, Open World, Action RPG, Singleplayer, Twin Stick Shooter, Base Building, Tower Defense, Post-apocalyptic, Top-Down, Building, Isometric, Old School, Combat, 3D, Strategy, Dystopian , Indie"
1213220,IRON GUARD VR,"1 Sep, 2021",Very Positive,93,"VR, Tower Defense, Strategy, RTS, Sci-fi, Action, Robots, Space, Action RTS, Real Time Tactics, 3D, Atmospheric, Futuristic, Indie, Military, War, Survival, Artificial Intelligence, Old School, Destruction"
2665340,The Texas Chain Saw Massacre - Slaughter Family Execution Pack 2,"22 Feb, 2024",Positive,25,"Action, Indie, Horror, Multiplayer, Survival Horror, Gore, Team-Based, PvP, Third Person, Survival, Stealth, Asynchronous Multiplayer, Violent, Blood, Cinematic, Atmospheric, 3D, Nudity, Psychological Horror, Strategy"
1067220,RoboCo,"3 Nov, 2022",Very Positive,115,"Early Access, Building, Sandbox, Physics, Robots, Simulation, Indie, Education, Funny, Singleplayer, Arcade, Casual, Strategy, 3D, Third Person, Cute, VR, Action, Puzzle, Cartoony"
787040,Perfect Heist,"17 Aug, 2018",Mostly Positive,355,"Multiplayer, Action, Heist, Indie, Strategy, Casual, FPS, Shooter, Turn-Based Strategy, Outbreak Sim, Real Time Tactics, First-Person, Third-Person Shooter, Early Access, 3D, Cartoon, Cartoony, Stylized, Third Person, Crime"
1393570,Superbugs: Awaken,"23 Mar, 2022",Very Positive,136,"Online Co-Op, Difficult, Fast-Paced, Puzzle, Co-op, Action, Multiplayer, 3D, Action-Adventure, Funny, Conversation, Indie, Local Co-Op, First-Person, Stylized, FPS, Local Multiplayer, Adventure, Roguelike, Strategy"
1154080,Rugby League Team Manager 3,"28 May, 2020",Very Positive,70,"Management, Sports, Simulation, Strategy, Tactical, Indie, Singleplayer, Action, 3D, Character Customization, Tactical RPG, Adventure, Colorful, Football (American), Illuminati, Atmospheric, Multiple Endings, Turn-Based Tactics, Rugby, Souls-like"
2665290,The Texas Chain Saw Massacre - Nancy,"28 Nov, 2023",Very Positive,63,"Horror, Gore, Multiplayer, Action, Survival Horror, Team-Based, Violent, PvP, Survival, Asynchronous Multiplayer, Third Person, Stealth, Indie, Blood, Cinematic, Atmospheric, 3D, Nudity, Psychological Horror, Strategy"
2095450,Tiny Tactics,"5 Aug, 2022",Very Positive,587,"Strategy, Tower Defense, 3D, Top-Down, Cartoony, Colorful, Fantasy, Tactical, Mythology, Class-Based, Indie, Building, Combat, Grid-Based Movement, Singleplayer, Auto Battler, Action, Casual, Turn-Based Tactics, Isometric"
2617350,MACHO SPINNER,"10 Dec, 2023",Mostly Positive,12,"Action, Strategy, Tabletop, Idler, Tactical RPG, 3D, Realistic, Third Person, Sports, Philosophical, Emotional, Indie, PvP, Atmospheric, Physics, Singleplayer, Multiplayer"
