game_id,title,released,price,overall,positive%,reviews,tags
686810,Hell Let Loose,"27 Jul, 2021","900.000,00₫",Very Positive,0.84,76743,"Shooter, World War II, Realistic, FPS, Multiplayer, War, Action, Singleplayer, Military, Tactical, Simulation, First-Person, Massively Multiplayer, Gore, Strategy, Historical, PvP, Mature, Violent, Indie"
739630,Phasmophobia,"18 Sep, 2020","160.000,00₫",Overwhelmingly Positive,0.96,539809,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Demons, Detective, Mystery, 3D, Early Access, Thriller, Indie, Action, Tactical, Singleplayer"
1943950,Escape the Backrooms,"11 Aug, 2022","120.000,00₫",Very Positive,0.91,52213,"Horror, Multiplayer, Online Co-Op, Psychological Horror, Co-op, Survival Horror, First-Person, Exploration, Adventure, VR, Action, Indie, Escape Room, Early Access, 3D, Singleplayer, Action-Adventure, Casual, Stealth, Dungeon Crawler"
1145360,Hades,"17 Sep, 2020","321.000,00₫",Overwhelmingly Positive,0.98,227668,"Action Roguelike, Roguelite, Hack and Slash, Indie, Action, Mythology, Roguelike, Great Soundtrack, Singleplayer, RPG, Story Rich, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand-drawn, Atmospheric, Perma Death, LGBTQ+"
588650,Dead Cells,"6 Aug, 2018","220.000,00₫",Overwhelmingly Positive,0.97,127164,"Adventure, Action Roguelike, Pixel Graphics, Metroidvania, 2D, Roguelike, Souls-like, Roguelite, Hack and Slash, Replay Value, Difficult, Platformer, Roguevania, Singleplayer, Action, Dark Fantasy, Atmospheric, Procedural Generation, Funny, Indie"
322330,Don't Starve Together,"21 Apr, 2016","165.000,00₫",Overwhelmingly Positive,0.95,302331,"Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Atmospheric, Funny, Survival Horror, Strategy, Horror, Singleplayer, Action, Roguelike"
275850,No Man's Sky,"12 Aug, 2016","705.000,00₫",Mostly Positive,0.77,222532,"Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, Adventure, First-Person, Sandbox, Singleplayer, Multiplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, FPS, VR"
632360,Risk of Rain 2,"11 Aug, 2020","220.000,00₫",Overwhelmingly Positive,0.96,178945,"Third-Person Shooter, Action Roguelike, Multiplayer, Co-op, Action, Roguelite, Looter Shooter, Roguelike, Loot, Online Co-Op, Shooter, Difficult, Third Person, Indie, Survival, Great Soundtrack, Singleplayer, Soundtrack, Early Access, Bullet Hell"
728880,Overcooked! 2,"7 Aug, 2018","300.000,00₫",Very Positive,0.9,42622,"Multiplayer, Online Co-Op, Local Co-Op, Co-op, Casual, Funny, Cooking, Indie, 4 Player Local, Local Multiplayer, Action, Family Friendly, Cute, Controller, Comedy, Difficult, Singleplayer, Simulation, Strategy, Colorful"
1190970,House Flipper 2,"14 Dec, 2023","438.500,00₫",Mostly Positive,0.77,5559,"Simulation, Building, Design & Illustration, Casual, Relaxing, Sandbox, Destruction, Family Friendly, Immersive Sim, Education, First-Person, 3D, Indie, Management, Singleplayer, Base Building, Colorful, Replay Value, Economy, Realistic"
526870,Satisfactory,"8 Jun, 2020","385.000,00₫",Overwhelmingly Positive,0.97,133394,"Base Building, Automation, Open World, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Open World Survival Craft, Early Access, Simulation, Survival, First-Person, Strategy, Sci-fi, Singleplayer, Indie"
892970,Valheim,"2 Feb, 2021","188.000,00₫",Very Positive,0.94,379048,"Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Exploration, Base Building, Co-op, Sandbox, Adventure, Mythology, RPG, Early Access, Action, PvE, Indie, Singleplayer, Third Person"
671860,BattleBit Remastered,"15 Jun, 2023","253.500,00₫",Very Positive,0.89,110321,"FPS, Multiplayer, Shooter, Military, Destruction, Massively Multiplayer, PvP, Action, War, Tactical, First-Person, Team-Based, Combat, Class-Based, Gun Customization, Character Customization, 3D, Indie, Voxel, Early Access"
367520,Hollow Knight,"24 Feb, 2017","165.000,00₫",Overwhelmingly Positive,0.97,301188,"Metroidvania, Souls-like, Platformer, Great Soundtrack, Difficult, 2D, Indie, Singleplayer, Atmospheric, Exploration, Adventure, Story Rich, Hand-drawn, Action, Multiple Endings, Dark Fantasy, Open World, Cute, Controller, Side Scroller"
1332010,Stray,"19 Jul, 2022","379.000,00₫",Overwhelmingly Positive,0.97,121419,"Cats, Adventure, Cyberpunk, Atmospheric, Singleplayer, Cute, Exploration, Robots, Third Person, Beautiful, Puzzle, Horror, Sci-fi, Indie, Dystopian , Open World, Mystery, Action, Colorful, Stealth"
244210,Assetto Corsa,"19 Dec, 2014","260.000,00₫",Very Positive,0.92,91321,"Racing, Automobile Sim, Simulation, Driving, Multiplayer, Realistic, VR, Sports, Moddable, Controller, Open World, Physics, Singleplayer, First-Person, Indie, Replay Value, Action, 3D Vision, TrackIR, Artificial Intelligence"
1721470,Poppy Playtime,"12 Oct, 2021",Free,Very Positive,0.82,70083,"Horror, Singleplayer, Free to Play, Multiplayer, Puzzle, First-Person, Survival Horror, Dark, Mystery, Survival, Psychological Horror, Indie, Lore-Rich, 1980s, Thriller, Atmospheric, Adventure, Action, Cartoony, Action-Adventure"
286160,Tabletop Simulator,"5 Jun, 2015","188.000,00₫",Overwhelmingly Positive,0.96,38204,"Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, VR, Trading Card Game, Physics, Moddable, 3D, Casual, Strategy, Online Co-Op, Wargame, Co-op, Funny, RPG, First-Person, Indie"
1562430,DREDGE,"30 Mar, 2023","500.000,00₫",Overwhelmingly Positive,0.95,24479,"Exploration, Fishing, Lovecraftian, Adventure, Open World, Mystery, Inventory Management, RPG, Atmospheric, Simulation, Psychological Horror, Horror, Singleplayer, Stylized, Survival Horror, Psychological, Story Rich, 3D, Sailing, Indie"
268910,Cuphead,"29 Sep, 2017","188.000,00₫",Overwhelmingly Positive,0.96,139322,"Difficult, Cartoon, Co-op, Platformer, Great Soundtrack, Local Co-Op, 2D, Hand-drawn, Multiplayer, Indie, Retro, Cartoony, Bullet Hell, Action, Shoot 'Em Up, Singleplayer, Side Scroller, Colorful, Funny, Souls-like"
1476970,IdleOn - The Idle MMO,"2 Apr, 2021",Free,Mostly Positive,0.78,16017,"Idler, Management, Pixel Graphics, MMORPG, RPG, Crafting, Clicker, Resource Management, Sandbox, Free to Play, Multiplayer, Massively Multiplayer, Indie, Casual, Simulation, Early Access, Character Customization, Old School, PvE, Anime"
753640,Outer Wilds,"18 Jun, 2020","319.000,00₫",Overwhelmingly Positive,0.95,53910,"Exploration, Space, Mystery, Story Rich, Adventure, Great Soundtrack, Atmospheric, Puzzle, Open World, Singleplayer, Sci-fi, Indie, First-Person, Beautiful, Horror, Psychological Horror, Epic, Simulation, 3D, Action"
4000,Garry's Mod,"29 Nov, 2006","120.000,00₫",Overwhelmingly Positive,0.96,903860,"Sandbox, Moddable, Multiplayer, Physics, Building, Casual, Singleplayer, Funny, First-Person, Online Co-Op, Co-op, Simulation, FPS, Action, Shooter, Comedy, Indie, PvP, Realistic, Exploration"
1605220,Dune: Spice Wars,"14 Sep, 2023","445.000,00₫",Mostly Positive,0.79,8660,"Management, Singleplayer, Sci-fi, Strategy, RTS, 4X, Simulation, Grand Strategy, Real Time Tactics, Building, Tactical, Economy, War, Diplomacy, Multiplayer, Base Building, Co-op, PvP, PvE, Indie"
2555190,Poppy Playtime - Chapter 3,"30 Jan, 2024","205.000,00₫",Very Positive,0.84,5698,"Adventure, Action, Indie, Horror, Puzzle, Singleplayer, First-Person, Dark, Survival Horror, Jump Scare, 3D, Violent, Mystery, Story Rich, Blood, Psychological Horror, Survival, Gore, Atmospheric, Action-Adventure"
